Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Моделирование систем. Имитационный метод. Учебник;Кутузов Олег Иванович, Татарникова Татьяна Михайловна;Лань: Компьютеры и программное обеспечение;3504;0;0;Ограничено
Операционные системы. Практикум. Учебное пособие;Иванько Александр Федорович и др.;Лань: Компьютеры и программное обеспечение;2267;0;0;Ограничено
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие;Матвеев Александр Иванович;Лань: Компьютеры и программное обеспечение;1237;0;0;Ограничено
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;3093;0;0;Ограничено
Прикладная теория надежности. Практикум. Учебное пособие;Сугак Евгений Викторович;Лань: Компьютеры и программное обеспечение;4122;0;0;На складе
Алгоритмы и программы. Язык С++. Учебное пособие;Конова Елена Александровна, Поллак Галина Андреевна;Лань: Учебники для вузов. Специальная литература;3064;0;0;На складе
Методы и средства научного исследования при освоении дисциплины Анализ данных. Учебное пособие;Мелехина Татьяна Леонидовна, Поздеева Светлана Николаевна;Прометей;739;1344;45;На складе
Анализ данных. Моделирование инвестиционного портфеля. Учебное пособие;Цогоева Аида Руслановна и др.;Прометей;592;1076;45;На складе
Java. Полное руководство;Шилдт Герберт;Вильямс;4086;6810;40;На складе
Компьютер очень просто и очень понятно. Современное руководство для любого возраста;Жуков Иван;АСТ: Новейший самоучитель;442;605;27;На складе
JavaScript для начинающих;МакГрат Майк;Бомбора: Мировой компьютерный бестселлер (обложка);923;1264;27;На складе
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python;Дабасс Элиас;ДМК-Пресс;2177;3628;40;На складе
Автоматизация бухгалтерского учета в бюджетных организациях. Учебное пособие;Гаглоева Индира Эдуардовна;Кнорус: Бакалавриат;1586;2644;40;Ограничено
Теория систем и системный анализ. Учебное пособие;Глухих Игорь Николаевич;Проспект;379;689;45;На складе
Управление персонажами в IT;Калугина Валерия Олеговна;Союз писателей;856;1426;40;На складе
Спецэффекты в компьютерной графике. Учебник;Бекназарова Саида Сафибуллаевна, Жаумитбаева Мехрибан Караматдин кизи;Инфра-Инженерия;1027;1712;40;На складе
